   Time             VI                IT                VC                VR              
  3.800000000E-02   1.466682154E+00  -7.379785430E-02   1.000092750E+02  -1.475957086E+00 
  3.900000000E-02   1.796733699E+00  -5.748077503E-02   9.935288186E+01  -1.149615501E+00 
  4.000000000E-02   1.908399750E+00  -3.895510778E-02   9.887070244E+01  -7.791021557E-01 
  4.100000000E-02   1.830578525E+00  -2.026021641E-02   9.857462582E+01  -4.052043282E-01 
  4.200000000E-02   1.603874094E+00  -3.087953315E-03   9.845788498E+01  -6.175906631E-02 
  4.300000000E-02   1.274906090E+00   1.130594761E-02   9.849897495E+01   2.261189521E-01 
  4.400000000E-02   8.910963039E-01   2.213595958E-02   9.866618448E+01   4.427191915E-01 
  4.500000000E-02   4.963108117E-01   2.907299515E-02   9.892222926E+01   5.814599031E-01 
  4.600000000E-02   1.275928939E-01   3.219251368E-02   9.922855680E+01   6.438502736E-01 
  4.700000000E-02  -1.869167594E-01   3.189589435E-02   9.954899884E+01   6.379178871E-01 
  4.800000000E-02  -4.288987600E-01   2.881681676E-02   9.985256240E+01   5.763363351E-01 
  4.900000000E-02  -5.897374022E-01   2.372363595E-02   1.001152647E+02   4.744727189E-01 
  5.000000000E-02  -6.695614045E-01   1.742714191E-02   1.003210185E+02   3.485428382E-01 
  5.100000000E-02  -6.756779034E-01   1.070094537E-02   1.004616590E+02   2.140189075E-01 
  5.200000000E-02  -6.206467669E-01   4.219322021E-03   1.005362603E+02   8.438644043E-02 
  5.300000000E-02  -5.202303427E-01  -1.485063526E-03   1.005499316E+02  -2.970127053E-02 
  5.400000000E-02  -3.914230311E-01  -6.043330396E-03   1.005122896E+02  -1.208666079E-01 
  5.500000000E-02  -2.507216401E-01  -9.254053752E-03   1.004358027E+02  -1.850810750E-01 
  5.600000000E-02  -1.127474629E-01  -1.107139927E-02   1.003341755E+02  -2.214279853E-01 
  5.700000000E-02   1.071996726E-02  -1.158153674E-02   1.002209108E+02  -2.316307349E-01 
  5.800000000E-02   1.112847450E-01  -1.097151318E-02   1.001081455E+02  -2.194302637E-01 
  5.900000000E-02   1.840793620E-01  -9.494692647E-03   1.000058145E+02  -1.898938529E-01 
  6.000000000E-02   2.275701033E-01  -7.436445321E-03   9.992115881E+01  -1.487289064E-01 
  6.100000000E-02   2.431007033E-01  -5.083091288E-03   9.985856113E+01  -1.016618258E-01 
  6.200000000E-02   2.342613563E-01  -2.696280990E-03   9.981966427E+01  -5.392561980E-02 
  6.300000000E-02   2.061702173E-01  -4.941231215E-04   9.980371225E+01  -9.882462429E-03 
  6.400000000E-02   1.647468174E-01   1.360462052E-03   9.980804394E+01   2.720924104E-02 
  6.500000000E-02   1.160434162E-01   2.764413220E-03   9.982866832E+01   5.528826440E-02 
  6.600000000E-02   6.568342764E-02   3.673047439E-03   9.986085562E+01   7.346094879E-02 
  6.700000000E-02   1.843779944E-02   4.093653575E-03   9.989968912E+01   8.187307149E-02 
  6.800000000E-02  -2.204752108E-02   4.075604966E-03   9.994053542E+01   8.151209933E-02 
  6.900000000E-02  -5.337567132E-02   3.698489004E-03   9.997940589E+01   7.396978009E-02 
  7.000000000E-02  -7.438986828E-02   3.059661307E-03   1.000131966E+02   6.119322613E-02 
  7.100000000E-02  -8.505577512E-02   2.262433090E-03   1.000398071E+02   4.524866179E-02 
  7.200000000E-02  -8.626500735E-02   1.405829177E-03   1.000581484E+02   2.811658354E-02 
  7.300000000E-02  -7.959126433E-02   5.765478188E-04   1.000680603E+02   1.153095638E-02 
  7.400000000E-02  -6.702918555E-02  -1.565544306E-04   1.000701603E+02  -3.131088613E-03 
  7.500000000E-02  -5.074221552E-02  -7.454114360E-04   1.000656504E+02  -1.490822872E-02 
  7.600000000E-02  -3.284028783E-02  -1.163323953E-03   1.000561068E+02  -2.326647905E-02 
  7.700000000E-02  -1.520178852E-02  -1.403534334E-03   1.000432725E+02  -2.807068669E-02 
  7.800000000E-02   6.522475256E-04  -1.476282039E-03   1.000288734E+02  -2.952564079E-02 
  7.900000000E-02   1.362981058E-02  -1.404871749E-03   1.000144676E+02  -2.809743498E-02 
  8.000000000E-02   2.308871250E-02  -1.221279133E-03   1.000013369E+02  -2.442558267E-02 
  8.100000000E-02   2.881370179E-02  -9.617670619E-04   9.999042164E+01  -1.923534124E-02 
  8.200000000E-02   3.095969723E-02  -6.629000668E-04   9.998229830E+01  -1.325800134E-02 
  8.300000000E-02   2.997220928E-02  -3.582405342E-04   9.997719260E+01  -7.164810685E-03 
  8.400000000E-02   2.649607838E-02  -7.589909590E-05   9.997502190E+01  -1.517981918E-03 
  8.500000000E-02   2.128271938E-02   1.629948929E-04   9.997545738E+01   3.259897859E-03 
  8.600000000E-02   1.510438253E-02   3.449304025E-04   9.997799701E+01   6.898608050E-03 
  8.700000000E-02   8.681804953E-03   4.638613399E-04   9.998204097E+01   9.277226799E-03 
  8.800000000E-02   2.629303002E-03   5.204168797E-04   9.998696236E+01   1.040833759E-02 
  8.900000000E-02  -2.580914374E-03   5.206588229E-04   9.999216774E+01   1.041317646E-02 
  9.000000000E-02  -6.635456231E-03   4.745769698E-04   9.999714392E+01   9.491539397E-03 
  9.100000000E-02  -9.379372285E-03   3.945028273E-04   1.000014893E+02   7.890056545E-03 
  9.200000000E-02  -1.080175904E-02   2.935971706E-04   1.000049298E+02   5.871943413E-03 
  9.300000000E-02  -1.101112067E-02   1.845327721E-04   1.000073205E+02   3.690655441E-03 
  9.400000000E-02  -1.020449618E-02   7.845468779E-05   1.000086354E+02   1.569093756E-03 
  9.500000000E-02  -8.634205282E-03  -1.573881953E-05   1.000089490E+02  -3.147763906E-04 
  9.600000000E-02  -6.575592312E-03  -9.178780750E-05   1.000084113E+02  -1.835756150E-03 
  9.700000000E-02  -4.298457905E-03  -1.461580586E-04   1.000072216E+02  -2.923161172E-03 
  9.800000000E-02  -2.044062266E-03  -1.778706594E-04   1.000056015E+02  -3.557413189E-03 
  9.900000000E-02  -8.753669675E-06  -1.881347391E-04   1.000037714E+02  -3.762694782E-03 
  1.000000000E-01   1.665500375E-03  -1.798510056E-04   1.000019315E+02  -3.597020112E-03 
